"BehaviorSpace results (NetLogo 6.3.0)"
"Resin dummy.nlogo"
"experiment"
"07/11/2023 12:05:31:743 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","degree-of-cognition","rb","#levels","seed","#subgroups","average-node-degree","world-over-neighbors","rewiring-proportion","degree-of-homophily","update-appearance?","hide-people?","color-communities-louvain?","static-seed?","write-attitudes-to-file?","#items","population-size","[step]","mean [mean-individual-internal-consistency] of people"
"61","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","1.0000000000000002"
"62","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.9999999999999999"
"64","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","1.0000000000000002"
"63","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.9999999999999999"
"65","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","1.0000000000000002"
"66","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.5074424340757615"
"67","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","1.0000000000000002"
"68","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.9999999999999999"
"69","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.45770097888848843"
"70","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","1"
"81","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.5748506467671153"
"82","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.7746615127289436"
"71","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.7305350673185856"
"83","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.6376239517887087"
"72","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.9999999999999999"
"73","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.6449279043571499"
"74","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.6463687990705079"
"84","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.564626529201043"
"85","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.7549456482060154"
"86","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.7473466787424573"
"88","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.6467073509462129"
"75","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","1.0000000000000002"
"76","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.40373520639582344"
